,Suburb,Rooms,Type,Distance,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,Regionname,Price
54,Abbotsford,3,t,2.5,,,,,,,Northern Metropolitan,962000.0
55,Abbotsford,3,h,2.5,3.0,2.0,2.0,147.0,18.0,,Northern Metropolitan,1290000.0
56,Abbotsford,3,h,2.5,3.0,1.0,1.0,168.0,124.0,1950.0,Northern Metropolitan,1290000.0
57,Abbotsford,1,u,2.5,1.0,1.0,1.0,0.0,50.0,2013.0,Northern Metropolitan,470000.0
58,Abbotsford,2,h,2.5,2.0,1.0,0.0,162.0,91.0,1900.0,Northern Metropolitan,1180000.0
59,Abbotsford,3,h,2.5,3.0,2.0,1.0,120.0,128.0,1998.0,Northern Metropolitan,1195000.0
61,Abbotsford,2,h,2.5,2.0,1.0,0.0,182.0,82.0,1900.0,Northern Metropolitan,1012500.0
62,Abbotsford,2,u,2.5,,,,,,,Northern Metropolitan,970000.0
63,Abbotsford,2,h,2.5,2.0,1.0,1.0,172.0,81.0,1930.0,Northern Metropolitan,1030000.0
65,Abbotsford,3,h,2.5,,,,,,,Northern Metropolitan,927000.0
66,Airport West,3,t,13.5,3.0,2.0,1.0,303.0,225.0,2016.0,Western Metropolitan,840000.0
67,Airport West,3,h,13.5,3.0,2.0,1.0,0.0,145.0,1965.0,Western Metropolitan,730000.0
68,Airport West,3,h,13.5,3.0,2.0,1.0,0.0,145.0,1965.0,Western Metropolitan,770000.0
70,Airport West,2,h,13.5,2.0,1.0,1.0,272.0,84.0,1950.0,Western Metropolitan,603000.0
71,Airport West,3,t,13.5,3.0,2.0,2.0,239.0,134.0,2009.0,Western Metropolitan,700000.0
72,Airport West,3,h,13.5,2.0,1.0,1.0,290.0,116.0,1980.0,Western Metropolitan,600000.0
73,Airport West,2,u,13.5,2.0,1.0,1.0,168.0,86.0,2011.0,Western Metropolitan,500000.0
74,Airport West,2,t,13.5,,,,,,,Western Metropolitan,420000.0
75,Airport West,3,t,13.5,,,,,,,Western Metropolitan,500000.0
76,Airport West,5,h,13.5,,,,,,,Western Metropolitan,1035000.0
77,Airport West,4,h,13.5,,,,,,,Western Metropolitan,960000.0
78,Airport West,4,h,13.5,,,,,,,Western Metropolitan,960000.0
79,Airport West,3,h,13.5,2.0,1.0,1.0,620.0,,,Western Metropolitan,720000.0
80,Airport West,4,h,13.5,3.0,1.0,2.0,597.0,127.0,,Western Metropolitan,785000.0
81,Airport West,6,h,13.5,6.0,3.0,2.0,976.0,186.0,1980.0,Western Metropolitan,725000.0
82,Airport West,2,t,13.5,2.0,1.0,1.0,110.0,90.0,2015.0,Western Metropolitan,450000.0
83,Airport West,2,u,13.5,2.0,1.0,1.0,141.0,73.0,2013.0,Western Metropolitan,515000.0
84,Airport West,3,h,13.5,,,,,,,Western Metropolitan,680000.0
85,Airport West,2,u,13.5,2.0,1.0,1.0,120.0,94.0,2012.0,Western Metropolitan,530000.0
86,Airport West,3,h,13.5,3.0,1.0,6.0,1063.0,133.0,1975.0,Western Metropolitan,895000.0
87,Airport West,3,u,13.5,,,,,,,Western Metropolitan,600000.0
88,Airport West,3,h,13.5,3.0,1.0,1.0,0.0,105.0,1950.0,Western Metropolitan,805000.0
89,Airport West,3,t,13.5,,,,,,,Western Metropolitan,760000.0
90,Airport West,3,u,13.5,3.0,1.0,1.0,265.0,130.0,1993.0,Western Metropolitan,752000.0
91,Airport West,3,u,13.5,,,,,,,Western Metropolitan,580000.0
92,Airport West,3,h,13.5,,,,,,,Western Metropolitan,725000.0
93,Airport West,4,h,13.5,,,,,,,Western Metropolitan,758000.0
94,Airport West,2,u,13.5,2.0,1.0,1.0,192.0,,,Western Metropolitan,440000.0
95,Airport West,3,h,13.5,,,,,,,Western Metropolitan,970000.0
96,Airport West,5,h,13.5,3.0,2.0,2.0,596.0,,,Western Metropolitan,755000.0
97,Airport West,4,h,13.5,,,,,,,Western Metropolitan,985000.0
98,Airport West,3,t,13.5,3.0,2.0,2.0,165.0,133.0,2009.0,Western Metropolitan,700000.0
99,Airport West,2,u,13.5,,,,,,,Western Metropolitan,509500.0
100,Airport West,3,h,13.5,3.0,1.0,2.0,971.0,113.0,1960.0,Western Metropolitan,830000.0
101,Airport West,2,u,13.5,2.0,1.0,1.0,164.0,,2003.0,Western Metropolitan,462500.0
102,Airport West,3,h,13.5,3.0,2.0,2.0,657.0,,,Western Metropolitan,670000.0
103,Airport West,2,h,13.5,2.0,1.0,1.0,612.0,100.0,1975.0,Western Metropolitan,675000.0
104,Airport West,3,h,13.5,3.0,2.0,5.0,612.0,174.0,1950.0,Western Metropolitan,1042000.0
105,Airport West,3,h,13.5,3.0,1.0,1.0,775.0,,,Western Metropolitan,910000.0
106,Airport West,4,h,13.5,5.0,3.0,4.0,531.0,309.0,1980.0,Western Metropolitan,773000.0
107,Airport West,3,h,13.5,,,,,,,Western Metropolitan,715000.0
108,Airport West,3,h,13.5,3.0,3.0,2.0,555.0,192.0,1980.0,Western Metropolitan,810000.0
109,Airport West,3,h,13.5,3.0,2.0,2.0,422.0,126.0,1995.0,Western Metropolitan,715000.0
110,Airport West,3,h,13.5,3.0,1.0,3.0,614.0,,,Western Metropolitan,790000.0
111,Airport West,2,t,13.5,,,,,,,Western Metropolitan,460000.0
112,Airport West,3,t,13.5,2.0,2.0,1.0,161.0,101.0,2010.0,Western Metropolitan,540000.0
113,Airport West,3,t,13.5,3.0,2.0,1.0,293.0,102.0,1960.0,Western Metropolitan,825000.0
114,Airport West,3,h,13.5,3.0,1.0,1.0,579.0,113.0,1975.0,Western Metropolitan,685000.0
115,Airport West,3,u,13.5,,,,,,,Western Metropolitan,445000.0
116,Airport West,3,h,13.5,3.0,1.0,1.0,623.0,,,Western Metropolitan,805000.0
117,Airport West,2,u,13.5,2.0,1.0,1.0,141.0,76.0,,Western Metropolitan,510000.0
118,Airport West,3,h,13.5,3.0,2.0,1.0,212.0,,,Western Metropolitan,612000.0
119,Airport West,3,h,13.5,3.0,1.0,2.0,612.0,,,Western Metropolitan,662000.0
120,Airport West,4,h,13.5,4.0,3.0,2.0,532.0,,,Western Metropolitan,978000.0
122,Airport West,3,h,13.5,3.0,1.0,1.0,585.0,,,Western Metropolitan,720000.0
123,Airport West,2,u,13.5,,,,,,,Western Metropolitan,474000.0
124,Airport West,2,t,13.5,,,,,,,Western Metropolitan,490000.0
125,Airport West,3,h,13.5,,,,,,,Western Metropolitan,405000.0
126,Airport West,3,t,13.5,,,,,,,Western Metropolitan,715000.0
127,Airport West,3,u,13.5,,,,,,,Western Metropolitan,671500.0
128,Airport West,4,h,13.5,4.0,1.0,2.0,509.0,,,Western Metropolitan,765000.0
129,Airport West,4,h,13.5,4.0,2.0,3.0,628.0,146.0,1975.0,Western Metropolitan,900000.0
130,Airport West,3,u,13.5,,,,,,,Western Metropolitan,820000.0
131,Airport West,3,u,13.5,,,,,,,Western Metropolitan,650000.0
132,Airport West,3,t,13.5,,,,,,,Western Metropolitan,552000.0
133,Albert Park,2,h,3.3,2.0,1.0,0.0,120.0,82.0,1900.0,Southern Metropolitan,1275000.0
134,Albert Park,2,h,3.3,2.0,1.0,0.0,159.0,,,Southern Metropolitan,1455000.0
135,Albert Park,3,h,3.3,3.0,2.0,0.0,211.0,198.0,1890.0,Southern Metropolitan,2850000.0
136,Albert Park,3,h,3.3,3.0,2.0,0.0,128.0,133.0,1890.0,Southern Metropolitan,1850000.0
138,Albert Park,2,h,3.3,2.0,1.0,0.0,130.0,81.0,1900.0,Southern Metropolitan,1436000.0
140,Albert Park,2,h,3.3,1.0,1.0,0.0,147.0,,1900.0,Southern Metropolitan,1110000.0
141,Albert Park,2,h,3.3,2.0,1.0,1.0,167.0,,,Southern Metropolitan,1550000.0
142,Albert Park,4,h,3.3,4.0,2.0,1.0,153.0,180.0,1880.0,Southern Metropolitan,2300000.0
144,Albert Park,3,t,3.3,3.0,2.0,2.0,718.0,,,Southern Metropolitan,1550000.0
145,Albert Park,3,h,3.3,3.0,2.0,1.0,132.0,159.0,1996.0,Southern Metropolitan,1800000.0
146,Albert Park,3,h,3.3,,,,,,,Southern Metropolitan,2485000.0
147,Albert Park,2,h,3.3,2.0,1.0,1.0,199.0,107.0,1900.0,Southern Metropolitan,2120000.0
148,Albert Park,3,h,3.3,3.0,1.0,1.0,253.0,,,Southern Metropolitan,1800000.0
149,Albert Park,3,h,3.3,3.0,2.0,1.0,90.0,122.0,1900.0,Southern Metropolitan,1800000.0
151,Albert Park,2,h,3.3,2.0,1.0,0.0,240.0,,,Southern Metropolitan,1810000.0
152,Albert Park,3,h,3.3,3.0,2.0,1.0,177.0,181.0,1880.0,Southern Metropolitan,2615000.0
153,Albert Park,5,h,3.3,5.0,2.0,1.0,237.0,,,Southern Metropolitan,2100000.0
154,Albert Park,3,h,3.3,3.0,1.0,0.0,129.0,,,Southern Metropolitan,1300000.0
155,Albert Park,3,h,3.3,3.0,2.0,2.0,0.0,85.0,2000.0,Southern Metropolitan,1370000.0
156,Albert Park,2,h,3.3,2.0,1.0,0.0,288.0,,,Southern Metropolitan,1000000.0
158,Albert Park,3,h,3.3,3.0,2.0,1.0,228.0,,,Southern Metropolitan,2575000.0
159,Albert Park,2,h,3.3,2.0,1.0,0.0,149.0,98.0,1890.0,Southern Metropolitan,1322500.0
161,Albert Park,2,h,3.3,2.0,1.0,0.0,141.0,83.0,1890.0,Southern Metropolitan,1562500.0
162,Albert Park,3,h,3.3,3.0,2.0,1.0,211.0,147.0,1900.0,Southern Metropolitan,2000000.0
165,Albert Park,3,h,3.3,3.0,1.0,0.0,209.0,,1900.0,Southern Metropolitan,1900000.0
166,Albert Park,3,h,3.3,3.0,2.0,0.0,147.0,146.0,1890.0,Southern Metropolitan,3010000.0
168,Albert Park,4,h,3.3,4.0,3.0,1.0,327.0,254.0,1910.0,Southern Metropolitan,2800000.0
170,Albert Park,2,u,3.3,2.0,1.0,1.0,0.0,,,Southern Metropolitan,647000.0
172,Albert Park,3,h,3.3,2.0,1.0,1.0,120.0,123.0,1900.0,Southern Metropolitan,2100000.0
176,Albert Park,3,h,3.3,3.0,1.0,1.0,238.0,131.0,1890.0,Southern Metropolitan,2000000.0
177,Albert Park,1,u,3.3,1.0,1.0,0.0,0.0,34.0,1970.0,Southern Metropolitan,442500.0
178,Albert Park,4,h,3.3,4.0,2.0,1.0,330.0,207.0,1910.0,Southern Metropolitan,4735000.0
179,Albert Park,2,h,3.3,2.0,1.0,0.0,136.0,,,Southern Metropolitan,1340000.0
180,Albert Park,3,h,3.3,3.0,1.0,1.0,202.0,,,Southern Metropolitan,1801000.0
181,Albert Park,3,h,3.3,3.0,3.0,1.0,0.0,,,Southern Metropolitan,1532000.0
182,Albert Park,3,h,3.3,3.0,2.0,2.0,325.0,,,Southern Metropolitan,3755000.0
183,Albert Park,4,h,3.3,3.0,2.0,1.0,183.0,145.0,1880.0,Southern Metropolitan,2140000.0
184,Albert Park,2,u,3.3,,,,,,,Southern Metropolitan,1810000.0
185,Albert Park,2,h,3.3,2.0,1.0,1.0,162.0,,,Southern Metropolitan,1750000.0
186,Albert Park,2,h,3.3,2.0,1.0,0.0,79.0,68.0,1890.0,Southern Metropolitan,980000.0
190,Albert Park,3,h,3.3,3.0,2.0,0.0,152.0,,,Southern Metropolitan,2030000.0
191,Albert Park,3,h,3.3,3.0,2.0,2.0,147.0,134.0,1890.0,Southern Metropolitan,1740000.0
192,Albert Park,3,h,3.3,3.0,3.0,1.0,0.0,,,Southern Metropolitan,2800000.0
193,Albert Park,1,h,3.3,1.0,1.0,0.0,81.0,54.0,1900.0,Southern Metropolitan,985000.0
195,Alphington,4,h,6.4,3.0,2.0,4.0,853.0,263.0,1930.0,Northern Metropolitan,2000000.0
196,Alphington,3,h,6.4,3.0,2.0,2.0,208.0,,2013.0,Northern Metropolitan,1110000.0
197,Alphington,3,h,6.4,3.0,2.0,2.0,411.0,,,Northern Metropolitan,1492000.0
198,Alphington,2,u,6.4,,,,,,,Northern Metropolitan,480000.0
200,Alphington,3,t,6.4,,,,,,,Northern Metropolitan,1304000.0
201,Alphington,4,h,6.4,4.0,2.0,1.0,599.0,203.0,1925.0,Northern Metropolitan,1717500.0
202,Alphington,5,h,6.4,5.0,4.0,4.0,809.0,165.0,1910.0,Northern Metropolitan,2840000.0
204,Alphington,2,u,6.4,2.0,1.0,1.0,88.0,60.0,1960.0,Northern Metropolitan,525500.0
205,Alphington,2,t,6.4,2.0,2.0,3.0,155.0,140.0,2004.0,Northern Metropolitan,805000.0
206,Alphington,2,u,6.4,2.0,1.0,1.0,0.0,,,Northern Metropolitan,465000.0
208,Alphington,3,h,6.4,,,,,,,Northern Metropolitan,1480000.0
209,Alphington,3,h,6.4,3.0,3.0,2.0,686.0,,,Northern Metropolitan,2000000.0
210,Alphington,3,h,6.4,3.0,1.0,2.0,592.0,,,Northern Metropolitan,1540000.0
212,Alphington,2,u,6.4,,,,,,,Northern Metropolitan,590000.0
213,Alphington,2,u,6.4,2.0,1.0,1.0,183.0,,,Northern Metropolitan,820000.0
214,Alphington,4,h,6.4,4.0,2.0,2.0,606.0,112.0,1970.0,Northern Metropolitan,1830000.0
215,Alphington,4,h,6.4,4.0,2.0,2.0,575.0,271.0,2008.0,Northern Metropolitan,2100000.0
216,Alphington,3,h,6.4,3.0,1.0,1.0,180.0,131.0,2010.0,Northern Metropolitan,865000.0
217,Alphington,2,u,6.4,2.0,1.0,1.0,0.0,60.0,1960.0,Northern Metropolitan,390000.0
218,Alphington,2,t,6.4,0.0,1.0,0.0,0.0,,,Northern Metropolitan,650000.0
219,Alphington,2,u,6.4,2.0,1.0,1.0,0.0,61.0,1965.0,Northern Metropolitan,512000.0
220,Alphington,3,h,6.4,,,,,,,Northern Metropolitan,1361000.0
222,Alphington,3,h,6.4,,,,,,,Northern Metropolitan,1310000.0
223,Alphington,3,h,6.4,,,,,,,Northern Metropolitan,570000.0
224,Alphington,3,h,6.4,3.0,1.0,2.0,979.0,,,Northern Metropolitan,1165000.0
225,Alphington,2,u,6.4,,,,,,,Northern Metropolitan,530000.0
226,Alphington,4,h,6.4,4.0,2.0,2.0,556.0,272.0,1930.0,Northern Metropolitan,1900000.0
228,Alphington,3,h,6.4,3.0,0.0,0.0,597.0,,,Northern Metropolitan,1485000.0
229,Alphington,4,h,6.4,4.0,2.0,3.0,589.0,210.0,1920.0,Northern Metropolitan,1950000.0
230,Altona,3,h,13.8,3.0,2.0,1.0,352.0,242.0,2015.0,Western Metropolitan,520000.0
231,Altona,5,h,13.8,5.0,3.0,3.0,729.0,268.0,2005.0,Western Metropolitan,1525000.0
232,Altona,2,t,13.8,2.0,1.0,2.0,292.0,125.0,2013.0,Western Metropolitan,720000.0
233,Altona,3,h,13.8,3.0,1.0,2.0,506.0,120.0,1930.0,Western Metropolitan,1120000.0
234,Altona,4,h,13.8,4.0,1.0,4.0,655.0,,,Western Metropolitan,780000.0
235,Altona,4,h,13.8,4.0,3.0,6.0,1057.0,220.0,1962.0,Western Metropolitan,1780000.0
236,Altona,3,u,13.8,2.0,1.0,2.0,311.0,94.0,1955.0,Western Metropolitan,630000.0
237,Altona,2,u,13.8,2.0,1.0,1.0,65.0,,,Western Metropolitan,406000.0
238,Altona,3,h,13.8,3.0,1.0,1.0,602.0,123.0,1955.0,Western Metropolitan,660000.0
239,Altona,3,h,13.8,3.0,1.0,1.0,530.0,,,Western Metropolitan,683500.0
240,Altona,2,u,13.8,,,,,,,Western Metropolitan,540000.0
241,Altona,2,u,13.8,2.0,1.0,1.0,225.0,93.0,1988.0,Western Metropolitan,580000.0
242,Altona,3,h,13.8,3.0,1.0,4.0,777.0,22.0,1953.0,Western Metropolitan,1335000.0
243,Altona,3,t,13.8,3.0,2.0,2.0,280.0,,1997.0,Western Metropolitan,800000.0
244,Altona,2,u,13.8,2.0,1.0,1.0,127.0,76.0,1990.0,Western Metropolitan,510000.0
245,Altona,4,h,13.8,4.0,2.0,2.0,695.0,,,Western Metropolitan,1070000.0
246,Altona,2,u,13.8,2.0,1.0,2.0,115.0,57.0,1980.0,Western Metropolitan,425000.0
247,Altona,3,u,13.8,3.0,2.0,2.0,230.0,,,Western Metropolitan,605000.0
248,Altona,3,t,13.8,3.0,2.0,2.0,197.0,152.0,,Western Metropolitan,705000.0
249,Altona,2,u,13.8,2.0,1.0,1.0,0.0,65.0,1965.0,Western Metropolitan,391000.0
250,Altona,2,u,13.8,2.0,1.0,1.0,0.0,,,Western Metropolitan,440000.0
251,Altona,4,h,13.8,4.0,1.0,2.0,745.0,130.0,1950.0,Western Metropolitan,845000.0
252,Altona,3,h,13.8,,,,,,,Western Metropolitan,766000.0
253,Altona,3,t,13.8,3.0,2.0,2.0,211.0,176.0,,Western Metropolitan,743000.0
254,Altona,3,t,13.8,,,,,,,Western Metropolitan,650000.0
255,Altona,3,u,13.8,3.0,2.0,1.0,69.0,141.0,2014.0,Western Metropolitan,730000.0
256,Altona,3,t,13.8,,,,,,,Western Metropolitan,916500.0
257,Altona,3,h,13.8,3.0,1.0,4.0,625.0,,1960.0,Western Metropolitan,635000.0
258,Altona,2,u,13.8,2.0,1.0,1.0,168.0,,,Western Metropolitan,620000.0
259,Altona,2,u,13.8,2.0,1.0,1.0,137.0,77.0,1990.0,Western Metropolitan,447000.0
260,Altona,3,u,13.8,3.0,2.0,1.0,70.0,,,Western Metropolitan,730000.0
261,Altona,3,h,13.8,3.0,1.0,2.0,606.0,87.0,1950.0,Western Metropolitan,678000.0
262,Altona,2,u,13.8,2.0,2.0,1.0,175.0,76.0,2013.0,Western Metropolitan,580000.0
263,Altona,3,h,13.8,3.0,1.0,2.0,363.0,,,Western Metropolitan,712000.0
264,Altona,3,h,13.8,3.0,2.0,2.0,534.0,136.0,1965.0,Western Metropolitan,840000.0
265,Altona,3,h,13.8,3.0,1.0,2.0,724.0,,,Western Metropolitan,980000.0
266,Altona,4,h,13.8,,,,,,,Western Metropolitan,1000000.0
267,Altona,3,t,13.8,3.0,2.0,0.0,265.0,,,Western Metropolitan,605100.0
268,Altona,3,h,13.8,3.0,3.0,1.0,577.0,,,Western Metropolitan,880000.0
269,Altona,3,u,13.8,3.0,2.0,1.0,205.0,113.0,2007.0,Western Metropolitan,577000.0
271,Altona,4,h,13.8,4.0,1.0,0.0,797.0,,,Western Metropolitan,1030000.0
272,Altona,3,u,13.8,3.0,1.0,2.0,181.0,,,Western Metropolitan,605000.0
273,Altona,3,h,13.8,,,,,,,Western Metropolitan,685000.0
275,Altona,3,h,13.8,3.0,2.0,2.0,529.0,,,Western Metropolitan,753000.0
276,Altona,2,h,13.8,2.0,2.0,1.0,675.0,100.0,1950.0,Western Metropolitan,857000.0
277,Altona,3,h,13.8,3.0,1.0,1.0,929.0,,,Western Metropolitan,1500000.0
278,Altona,3,u,13.8,3.0,2.0,1.0,70.0,3.0,2014.0,Western Metropolitan,730000.0
279,Altona,3,h,13.8,3.0,1.0,4.0,697.0,,,Western Metropolitan,900000.0
280,Altona,3,h,13.8,3.0,1.0,2.0,604.0,,,Western Metropolitan,740000.0
281,Altona,4,h,13.8,4.0,2.0,3.0,532.0,,1970.0,Western Metropolitan,931000.0
282,Altona,2,h,13.8,2.0,1.0,1.0,154.0,91.0,1996.0,Western Metropolitan,535600.0
284,Altona North,5,h,11.1,5.0,3.0,6.0,592.0,251.0,1965.0,Western Metropolitan,1085000.0
285,Altona North,3,h,11.1,3.0,1.0,2.0,533.0,117.0,1970.0,Western Metropolitan,781000.0
286,Altona North,4,h,11.1,,,,,,,Western Metropolitan,857500.0
287,Altona North,4,h,11.1,,,,,,,Western Metropolitan,960000.0
288,Altona North,3,h,11.1,3.0,1.0,3.0,554.0,,,Western Metropolitan,750000.0
289,Altona North,2,t,11.1,2.0,1.0,1.0,77.0,77.0,2009.0,Western Metropolitan,421000.0
290,Altona North,3,h,11.1,3.0,1.0,3.0,655.0,,,Western Metropolitan,1405000.0
292,Altona North,3,h,11.1,3.0,1.0,2.0,534.0,167.0,1967.0,Western Metropolitan,683000.0
294,Altona North,3,h,11.1,3.0,1.0,3.0,540.0,,,Western Metropolitan,623000.0
295,Altona North,3,h,11.1,3.0,2.0,1.0,0.0,130.0,2012.0,Western Metropolitan,720000.0
296,Altona North,4,t,11.1,,,,,,,Western Metropolitan,780000.0
297,Altona North,3,u,11.1,,,,,,,Western Metropolitan,720000.0
298,Altona North,3,h,11.1,,,,,,,Western Metropolitan,705000.0
299,Altona North,3,h,11.1,3.0,1.0,1.0,328.0,118.0,1970.0,Western Metropolitan,588000.0
300,Altona North,4,h,11.1,,,,,,,Western Metropolitan,720000.0
301,Altona North,3,h,11.1,3.0,1.0,3.0,540.0,116.0,1960.0,Western Metropolitan,710000.0
302,Altona North,2,h,11.1,,,,,,,Western Metropolitan,550000.0
303,Altona North,3,u,11.1,,,,,,,Western Metropolitan,640000.0
304,Altona North,3,h,11.1,,,,,,,Western Metropolitan,537500.0
306,Altona North,4,h,11.1,3.0,1.0,4.0,559.0,169.0,1965.0,Western Metropolitan,875000.0
307,Altona North,3,h,11.1,,,,,,,Western Metropolitan,800000.0
308,Altona North,3,t,11.1,,,,,,,Western Metropolitan,713500.0
310,Altona North,3,h,11.1,3.0,1.0,3.0,554.0,,,Western Metropolitan,700000.0
311,Altona North,2,h,11.1,,,,,,,Western Metropolitan,551000.0
312,Altona North,3,h,11.1,,,,,,,Western Metropolitan,685000.0
313,Altona North,2,t,11.1,2.0,1.0,1.0,252.0,,1965.0,Western Metropolitan,640000.0
314,Altona North,4,h,11.1,4.0,1.0,4.0,558.0,,,Western Metropolitan,650000.0
315,Altona North,3,h,11.1,,,,,,,Western Metropolitan,925000.0
318,Altona North,3,t,11.1,,,,,,,Western Metropolitan,670000.0
319,Altona North,3,h,11.1,,,,,,,Western Metropolitan,680000.0
320,Altona North,3,h,11.1,,,,,,,Western Metropolitan,765000.0
321,Altona North,3,h,11.1,3.0,2.0,2.0,171.0,109.0,2012.0,Western Metropolitan,675000.0
322,Altona North,3,h,11.1,3.0,1.0,2.0,585.0,97.0,1960.0,Western Metropolitan,708000.0
323,Altona North,3,t,11.1,,,,,,,Western Metropolitan,656000.0
324,Altona North,4,h,11.1,,,,,,,Western Metropolitan,883000.0
325,Altona North,4,h,11.1,4.0,1.0,4.0,851.0,,,Western Metropolitan,965000.0
326,Altona North,3,h,11.1,,,,,,,Western Metropolitan,870000.0
327,Altona North,3,h,11.1,,,,,,,Western Metropolitan,681000.0
328,Altona North,2,h,11.1,,,,,,,Western Metropolitan,522500.0
329,Altona North,5,h,11.1,,,,,,,Western Metropolitan,972000.0
330,Altona North,3,t,11.1,,,,,,,Western Metropolitan,590000.0
331,Altona North,2,h,11.1,,,,,,,Western Metropolitan,450000.0
332,Altona North,3,h,11.1,,,,,,,Western Metropolitan,765000.0
333,Altona North,3,h,11.1,,,,,,,Western Metropolitan,750000.0
334,Altona North,3,h,11.1,3.0,1.0,3.0,551.0,,,Western Metropolitan,680000.0
336,Altona North,2,t,11.1,,,,,,,Western Metropolitan,510000.0
337,Altona North,3,h,11.1,3.0,1.0,3.0,602.0,603.0,,Western Metropolitan,770000.0
338,Altona North,3,h,11.1,3.0,1.0,2.0,740.0,,,Western Metropolitan,923000.0
339,Altona North,4,h,11.1,4.0,2.0,4.0,315.0,170.0,2008.0,Western Metropolitan,693000.0
